x	y	z
0.487688	0.856463	0.261350
0.488488	0.861723	0.260862
0.489289	0.866924	0.260372
0.490090	0.872063	0.259882
0.490891	0.877136	0.259391
0.491692	0.882141	0.258900
0.492492	0.887075	0.258407
0.493293	0.891934	0.257914
0.494094	0.896716	0.257419
0.494895	0.901418	0.256924
0.495696	0.906037	0.256429
0.496496	0.910570	0.255932
0.497297	0.915015	0.255435
0.498098	0.919368	0.254936
0.498899	0.923627	0.254437
0.499700	0.927791	0.253938
0.500501	0.931855	0.253437
0.501301	0.935818	0.252936
0.502102	0.939678	0.252433
0.502903	0.943432	0.251930
0.503704	0.947078	0.251427
0.504505	0.950614	0.250922
0.505305	0.954039	0.250417
0.506106	0.957349	0.249910
0.506907	0.960545	0.249403
0.507708	0.963623	0.248896
0.508509	0.966582	0.248387
0.509309	0.969422	0.247878
0.510110	0.972140	0.247367
0.510911	0.974735	0.246856
0.511712	0.977207	0.246344
0.512513	0.979554	0.245832
0.513313	0.981775	0.245318
0.514114	0.983870	0.244804
0.514915	0.985837	0.244289
0.515716	0.987677	0.243773
0.516517	0.989389	0.243257
0.517317	0.990973	0.242739
0.518118	0.992428	0.242221
0.518919	0.993755	0.241702
0.519720	0.994952	0.241182
0.520521	0.996021	0.240661
0.521321	0.996962	0.240140
0.522122	0.997775	0.239618
0.522923	0.998461	0.239095
0.523724	0.999020	0.238571
0.524525	0.999452	0.238046
0.525325	0.999759	0.237521
0.526126	0.999941	0.236995
0.526927	1.000000	0.236468
0.527728	0.999936	0.235940
0.528529	0.999751	0.235411
0.529329	0.999446	0.234882
0.530130	0.999022	0.234351
0.530931	0.998480	0.233820
0.531732	0.997823	0.233288
0.532533	0.997051	0.232756
0.533333	0.996166	0.232222
0.534134	0.995171	0.231688
0.534935	0.994066	0.231153
0.535736	0.992854	0.230617
0.536537	0.991537	0.230080
0.537337	0.990116	0.229543
0.538138	0.988593	0.229005
0.538939	0.986971	0.228466
0.539740	0.985251	0.227926
0.540541	0.983437	0.227385
0.541341	0.981529	0.226843
0.542142	0.979530	0.226301
0.542943	0.977443	0.225758
0.543744	0.975268	0.225214
0.544545	0.973010	0.224670
