x	y	z
0.515716	0.656350	0.165473
0.516517	0.652300	0.165058
0.517317	0.648245	0.164644
0.518118	0.644184	0.164232
0.518919	0.640118	0.163820
0.519720	0.636048	0.163410
0.520521	0.631972	0.163001
0.521321	0.627891	0.162593
0.522122	0.623805	0.162186
0.522923	0.619715	0.161780
0.523724	0.615620	0.161376
0.524525	0.611521	0.160972
0.525325	0.607418	0.160570
0.526126	0.603312	0.160168
0.526927	0.599201	0.159768
0.527728	0.595087	0.159369
0.528529	0.590970	0.158970
0.529329	0.586849	0.158573
0.530130	0.582726	0.158177
0.530931	0.578601	0.157782
0.531732	0.574473	0.157388
0.532533	0.570343	0.156995
0.533333	0.566212	0.156603
0.534134	0.562080	0.156212
0.534935	0.557946	0.155822
0.535736	0.553812	0.155434
0.536537	0.549677	0.155046
0.537337	0.545543	0.154659
0.538138	0.541409	0.154273
0.538939	0.537276	0.153889
0.539740	0.533143	0.153505
0.540541	0.529013	0.153122
0.541341	0.524884	0.152740
0.542142	0.520758	0.152360
0.542943	0.516634	0.151980
0.543744	0.512514	0.151601
0.544545	0.508397	0.151223
0.545345	0.504284	0.150846
0.546146	0.500175	0.150471
0.546947	0.496071	0.150096
0.547748	0.491973	0.149722
0.548549	0.487880	0.149349
0.549349	0.483793	0.148977
0.550150	0.479713	0.148606
0.550951	0.475640	0.148235
0.551752	0.471574	0.147866
0.552553	0.467516	0.147498
0.553353	0.463467	0.147131
0.554154	0.459426	0.146764
0.554955	0.455395	0.146399
0.555756	0.451373	0.146034
0.556557	0.447361	0.145671
0.557357	0.443360	0.145308
0.558158	0.439370	0.144946
0.558959	0.435392	0.144585
0.559760	0.431425	0.144225
0.560561	0.427471	0.143866
0.561361	0.423529	0.143508
0.562162	0.419601	0.143151
0.562963	0.415687	0.142794
0.563764	0.411786	0.142438
0.564565	0.407900	0.142084
0.565365	0.404029	0.141730
0.566166	0.400173	0.141377
0.566967	0.396333	0.141025
0.567768	0.392509	0.140674
0.568569	0.388702	0.140323
0.569369	0.384912	0.139974
0.570170	0.381139	0.139625
0.570971	0.377383	0.139277
0.571772	0.373646	0.138930
0.572573	0.369927	0.138584
0.573373	0.366227	0.138239
0.574174	0.362547	0.137894
0.574975	0.358885	0.137550
0.575776	0.355244	0.137207
0.576577	0.351623	0.136865
0.577377	0.348022	0.136524
0.578178	0.344442	0.136184
0.578979	0.340884	0.135844
0.579780	0.337347	0.135505
0.580581	0.333831	0.135167
0.581381	0.330338	0.134830
0.582182	0.326867	0.134493
0.582983	0.323419	0.134158
0.583784	0.319993	0.133823
0.584585	0.316591	0.133489
0.585385	0.313212	0.133155
0.586186	0.309857	0.132823
0.586987	0.306525	0.132491
0.587788	0.303218	0.132160
0.588589	0.299935	0.131829
0.589389	0.296677	0.131500
0.590190	0.293443	0.131171
0.590991	0.290234	0.130843
0.591792	0.287051	0.130516
0.592593	0.283892	0.130189
0.593393	0.280760	0.129863
0.594194	0.277652	0.129538
0.594995	0.274571	0.129214
0.595796	0.271516	0.128890
0.596597	0.268486	0.128567
0.597397	0.265483	0.128245
0.598198	0.262506	0.127923
0.598999	0.259556	0.127603
0.599800	0.256632	0.127282
0.600601	0.253734	0.126963
0.601401	0.250864	0.126644
0.602202	0.248020	0.126326
0.603003	0.245203	0.126009
0.603804	0.242413	0.125692
0.604605	0.239650	0.125376
0.605405	0.236914	0.125061
0.606206	0.234205	0.124747
0.607007	0.231524	0.124433
0.607808	0.228869	0.124120
0.608609	0.226242	0.123807
0.609409	0.223642	0.123495
0.610210	0.221069	0.123184
0.611011	0.218523	0.122873
0.611812	0.216005	0.122563
0.612613	0.213513	0.122254
0.613413	0.211049	0.121945
0.614214	0.208612	0.121637
0.615015	0.206203	0.121330
0.615816	0.203820	0.121023
0.616617	0.201464	0.120717
0.617417	0.199135	0.120412
0.618218	0.196833	0.120107
0.619019	0.194558	0.119802
0.619820	0.192310	0.119499
0.620621	0.190089	0.119196
0.621421	0.187894	0.118893
0.622222	0.185726	0.118592
0.623023	0.183584	0.118291
0.623824	0.181469	0.117990
0.624625	0.179380	0.117690
0.625425	0.177317	0.117391
0.626226	0.175280	0.117092
0.627027	0.173269	0.116794
0.627828	0.171284	0.116496
0.628629	0.169325	0.116199
0.629429	0.167391	0.115902
0.630230	0.165483	0.115607
0.631031	0.163600	0.115311
0.631832	0.161742	0.115016
0.632633	0.159909	0.114722
0.633433	0.158101	0.114429
0.634234	0.156318	0.114136
0.635035	0.154560	0.113843
0.635836	0.152826	0.113551
0.636637	0.151116	0.113260
0.637437	0.149430	0.112969
0.638238	0.147768	0.112678
0.639039	0.146130	0.112389
0.639840	0.144516	0.112099
0.640641	0.142925	0.111811
0.641441	0.141357	0.111522
0.642242	0.139812	0.111235
0.643043	0.138290	0.110947
0.643844	0.136791	0.110661
0.644645	0.135314	0.110375
0.645445	0.133860	0.110089
0.646246	0.132428	0.109804
0.647047	0.131017	0.109519
0.647848	0.129629	0.109235
0.648649	0.128262	0.108952
0.649449	0.126916	0.108668
0.650250	0.125591	0.108386
0.651051	0.124288	0.108104
0.651852	0.123005	0.107822
0.652653	0.121742	0.107541
0.653453	0.120500	0.107260
0.654254	0.119278	0.106980
0.655055	0.118076	0.106700
0.655856	0.116894	0.106421
0.656657	0.115731	0.106142
0.657457	0.114587	0.105864
0.658258	0.113463	0.105586
0.659059	0.112357	0.105308
0.659860	0.111270	0.105031
0.660661	0.110202	0.104755
0.661461	0.109151	0.104479
0.662262	0.108119	0.104203
0.663063	0.107105	0.103928
0.663864	0.106108	0.103653
0.664665	0.105128	0.103379
0.665465	0.104166	0.103105
0.666266	0.103221	0.102832
0.667067	0.102292	0.102559
0.667868	0.101380	0.102286
0.668669	0.100485	0.102014
0.669469	0.099605	0.101742
0.670270	0.098742	0.101471
0.671071	0.097894	0.101200
0.671872	0.097061	0.100929
0.672673	0.096244	0.100659
0.673473	0.095442	0.100389
0.674274	0.094655	0.100120
0.675075	0.093883	0.099851
0.675876	0.093125	0.099583
0.676677	0.092381	0.099314
0.677477	0.091651	0.099047
0.678278	0.090936	0.098779
0.679079	0.090234	0.098512
0.679880	0.089545	0.098246
0.680681	0.088870	0.097979
0.681481	0.088208	0.097714
0.682282	0.087559	0.097448
0.683083	0.086922	0.097183
0.683884	0.086298	0.096918
0.684685	0.085686	0.096654
0.685485	0.085087	0.096390
0.686286	0.084499	0.096126
0.687087	0.083923	0.095863
0.687888	0.083359	0.095600
0.688689	0.082806	0.095337
0.689489	0.082264	0.095075
0.690290	0.081733	0.094813
0.691091	0.081213	0.094551
0.691892	0.080704	0.094290
0.692693	0.080206	0.094029
0.693493	0.079717	0.093768
0.694294	0.079239	0.093508
0.695095	0.078771	0.093248
0.695896	0.078312	0.092988
0.696697	0.077864	0.092729
0.697497	0.077424	0.092470
0.698298	0.076994	0.092211
0.699099	0.076573	0.091953
0.699900	0.076162	0.091695
0.700701	0.075759	0.091437
0.701502	0.075364	0.091179
0.702302	0.074979	0.090922
0.703103	0.074601	0.090665
0.703904	0.074232	0.090408
0.704705	0.073871	0.090152
0.705506	0.073518	0.089896
0.706306	0.073172	0.089640
0.707107	0.072835	0.089385
0.707908	0.072504	0.089130
0.708709	0.072182	0.088875
0.709510	0.071866	0.088620
0.710310	0.071557	0.088365
0.711111	0.071256	0.088111
0.711912	0.070961	0.087857
0.712713	0.070673	0.087604
0.713514	0.070391	0.087350
0.714314	0.070116	0.087097
0.715115	0.069847	0.086844
0.715916	0.069585	0.086592
0.716717	0.069328	0.086339
0.717518	0.069077	0.086087
0.718318	0.068833	0.085835
0.719119	0.068594	0.085584
0.719920	0.068360	0.085332
0.720721	0.068132	0.085081
0.721522	0.067909	0.084830
0.722322	0.067692	0.084580
0.723123	0.067480	0.084329
0.723924	0.067272	0.084079
0.724725	0.067070	0.083829
0.725526	0.066873	0.083579
0.726326	0.066680	0.083329
0.727127	0.066492	0.083080
0.727928	0.066308	0.082831
0.728729	0.066129	0.082581
0.729530	0.065955	0.082333
0.730330	0.065784	0.082084
0.731131	0.065618	0.081836
0.731932	0.065455	0.081587
0.732733	0.065297	0.081339
0.733534	0.065143	0.081091
0.734334	0.064992	0.080844
0.735135	0.064845	0.080596
0.735936	0.064702	0.080349
0.736737	0.064563	0.080102
0.737538	0.064426	0.079855
0.738338	0.064294	0.079608
0.739139	0.064164	0.079362
0.739940	0.064038	0.079115
0.740741	0.063915	0.078869
0.741542	0.063795	0.078623
0.742342	0.063678	0.078377
0.743143	0.063565	0.078131
0.743944	0.063454	0.077885
0.744745	0.063346	0.077640
